B2,B3,B4,B5,B6,B7,B8,classname,CLASSNAME
0.0606,0.0975,0.0954,0.1472,0.2001,0.2181,0.2292,0,
0.0922,0.1186,0.147,0.1837,0.1896,0.2004,0.1914,0,
0.0944,0.122,0.1494,0.1665,0.1673,0.1768,0.1876,0,
0.0469,0.0734,0.0678,0.1237,0.1906,0.2152,0.2326,0,
0.0358,0.0526,0.0517,0.0893,0.1567,0.1865,0.181,0,
0.0303,0.0716,0.0315,0.1156,0.286,0.3174,0.3616,0,
0.0653,0.0907,0.108,0.1384,0.1403,0.1521,0.142,0,
0.0664,0.0942,0.1144,0.1355,0.1343,0.1437,0.1554,0,
0.0491,0.0813,0.0802,0.1263,0.1601,0.171,0.1808,0,
0.0831,0.1092,0.129,0.1526,0.1662,0.1734,0.192,0,
0.0919,0.1172,0.148,0.1673,0.1698,0.1746,0.192,0,
0.0527,0.0815,0.0708,0.1222,0.1694,0.1792,0.1842,0,
0.0451,0.0781,0.0618,0.1188,0.1714,0.1845,0.197,0,
0.0882,0.1196,0.1356,0.1552,0.1712,0.1835,0.1932,0,
0.0952,0.127,0.157,0.1737,0.1827,0.1902,0.1974,0,
0.08,0.1088,0.1208,0.1555,0.191,0.2052,0.2216,0,
0.0372,0.0819,0.0436,0.1317,0.3112,0.3413,0.3438,0,
0.0476,0.0755,0.072,0.117,0.2657,0.3074,0.2112,0,
0.0651,0.0847,0.0968,0.1476,0.1544,0.1736,0.1846,0,
0.0582,0.089,0.0928,0.131,0.153,0.1578,0.1652,0,
0.0669,0.0939,0.1054,0.139,0.145,0.1595,0.157,0,
0.0251,0.0547,0.0217,0.0962,0.3298,0.378,0.3384,0,
0.0258,0.0541,0.0365,0.0912,0.27,0.3288,0.3198,0,
0.0517,0.0865,0.0745,0.1336,0.1807,0.1963,0.203,0,
0.0173,0.0453,0.0168,0.0682,0.278,0.3538,0.3498,0,
0.0588,0.0857,0.0949,0.1295,0.1237,0.1393,0.1406,0,
0.0839,0.1108,0.1316,0.1485,0.1588,0.1688,0.1734,0,
0.0984,0.1338,0.1628,0.1875,0.1873,0.1979,0.2068,0,
0.0439,0.0783,0.0619,0.121,0.1499,0.1567,0.1546,0,
0.0247,0.0473,0.0165,0.0758,0.2919,0.3693,0.3768,0,
0.063,0.0889,0.0985,0.125,0.1382,0.1487,0.1466,0,
0.0465,0.0854,0.0723,0.1359,0.2146,0.2268,0.2498,0,
0.0583,0.0894,0.0907,0.1287,0.1549,0.1637,0.1544,0,
0.0633,0.0947,0.1038,0.1363,0.1435,0.1536,0.1622,0,
0.0719,0.0995,0.114,0.136,0.1541,0.1646,0.1688,0,
0.0677,0.0937,0.1038,0.13,0.1386,0.1453,0.1504,0,
0.0728,0.1036,0.1104,0.1417,0.1554,0.164,0.1716,0,
0.0636,0.0906,0.1052,0.132,0.1394,0.1483,0.1506,0,
0.09,0.1136,0.1404,0.1571,0.1633,0.1694,0.1844,0,
0.0558,0.086,0.101,0.1237,0.1408,0.1503,0.1326,0,
0.0956,0.1194,0.1542,0.1692,0.1739,0.1813,0.195,0,
0.0659,0.0909,0.1066,0.1428,0.1497,0.1566,0.141,0,
0.0929,0.1176,0.1526,0.1682,0.1666,0.1733,0.1852,0,
0.0962,0.1198,0.1508,0.149,0.1592,0.1737,0.1872,0,
0.0366,0.049,0.0602,0.0921,0.1376,0.1558,0.1674,0,
0.094,0.1224,0.1476,0.1693,0.1733,0.1844,0.184,0,
0.0425,0.063,0.0775,0.1038,0.1019,0.11,0.0998,0,
0.04,0.0661,0.0652,0.1194,0.1778,0.1916,0.1982,0,
0.0843,0.1074,0.134,0.1519,0.1653,0.1748,0.1814,0,
0.0543,0.0853,0.0837,0.131,0.153,0.1578,0.1682,0,
